"NrOfLikesFb","NrofCommentsFb","NrOfFollowersTw","NrofRepliesTw","Revenue"
66493,6430,23178,163,36020189
27723,255,1789,246,58256
26340,841,3211,314,9912916
396286,8698,5795,429,27919007
7815500,63648,55334,824,234168067
1628569,23596,13652,232,58706434
444210,11706,9581,577,112168758
149831,3375,1944,287,16896107
166515,4556,216,31,25027016
118419,877,26933,338,3483560
83063,2547,6338,469,5601824
1517812,17354,17711,525,51821941
1935908,35323,62806,815,140495206
61975,13742,2693,1641,1032520
14803,118,580,198,41198
378820,13188,6689,439,86434018
137928,1998,1827,150,11911300
664778,8129,3088,91,43931608
214102,24472,1884,366,979331
295970,21875,1395,284,12709204
17818,420,2533,93,166803
9036,658,663,34,221292
123105,8778,1538,48,61996742
665404,9282,8672,731,41443711
2152206,44130,30190,880,157921271
182589,9609,4605,129,861215
1151177,24609,18511,388,18868574
233487,4456,7312,31,24679669
64818,1688,2688,371,11860890
17434,571,893,53,549026
652180,15356,14680,581,70910670
33384,556,1468,105,1034972
596194,11846,4291,635,89403542
31545,840,849,68,80136
2346,649,123,28,282768
412182,6435,4359,226,14863233
99066,2656,3450,146,10990924
2328860,4165,17996,193,207609585
2359906,12697,46171,567,64389242
2226601,11737,9258,251,63459946
320479,5993,1787,396,25518372
34013,1676,692,152,138883
9594,198,2808,209,85625
225872,4924,14728,349,16981276
6843,144,352,81,3344204
21097,1280,1500,212,3492006
166056,4634,7577,567,18737147
158855,4328,1130,245,24267575
928614,31925,11263,579,83243369
188486,6807,17901,952,14007755
36229,1148,5440,339,164877
153659,5637,11700,345,43704103
667931,23114,13208,574,145614273
94697,5865,4307,445,3157358
289014,5224,5157,278,42177802
421955,7694,7246,125,130471712
1337268,25251,386992,2694,174796098
144435,3681,1937,538,20924053
327903,5452,11367,480,34035670
16291,478,2708,314,843743
17113,1497,3140,263,134821
8426734,65002,16890,68,230164711
938555,30302,28932,786,69208646
393674,4164,55900,245,24557858
6822,427,649,72,3839745
9628565,51318,158697,686,128580146
86990,1133,3168,347,12411874
99382,1650,604,68,4426740
1778227,35042,12480,3185,49330330
812904,18051,32109,584,36322733
508852,10639,2674,102,37211601
3504,8,732,254,91175
40603,311,1392,61,5125780
107768,8901,3084,454,52613596
10064,621,177,22,24716
4032,167,618,93,56976
99929,4845,226,48,25667795
324420,16021,12063,599,119394506
253188,27766,5161,483,6976522
91679,4461,3455,164,2535823
105705,3800,7177,123,12061735
1767432,29839,52178,689,182379416
433110,14940,9776,821,24384544
447923,6777,8776,468,81393857
689941,14764,22043,541,162734173
24130,376,566,113,430854
118284,8670,3829,548,7765801
133312,2334,796,140,29777059
170092,4882,3918,153,9833377
598521,8912,13667,648,41350883
323457,3851,20772,181,2505802
1089174,30300,81972,1544,13700555
20019,459,242,11,3909449
692964,15079,9080,796,97200068
190632,4008,3244,480,29744183
526317,11829,9536,645,64491619
208139,5651,4181,303,33542795
56150,1358,3134,44,1469339
540729,37512,4781,811,10116816
9540940,119309,31129,1740,143863657
