,Bad_2,ID,VAR2,VAR5,VAR8,VAR11,VAR13,VAR16,VAR18,VAR1_A12,VAR1_A13,VAR1_A14,VAR3_A31,VAR3_A32,VAR3_A33,VAR3_A34,VAR4_A41,VAR4_A410,VAR4_A42,VAR4_A43,VAR4_A44,VAR4_A45,VAR4_A46,VAR4_A48,VAR4_A49,VAR6_A62,VAR6_A63,VAR6_A64,VAR6_A65,VAR7_A72,VAR7_A73,VAR7_A74,VAR7_A75,VAR9_A92,VAR9_A93,VAR9_A94,VAR10_A102,VAR10_A103,VAR12_A122,VAR12_A123,VAR12_A124,VAR14_A142,VAR14_A143,VAR15_A152,VAR15_A153,VAR17_A172,VAR17_A173,VAR17_A174,VAR19_A192,VAR20_A202
0,0,1,6,1169,4,4,67,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
1,1,2,48,5951,2,2,22,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2,0,3,12,2096,2,3,49,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
3,0,4,42,7882,2,4,45,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
4,1,5,24,4870,3,4,53,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
5,0,6,36,9055,2,4,35,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
6,0,7,24,2835,3,4,53,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
7,0,8,36,6948,2,2,35,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
8,0,9,12,3059,2,4,61,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
9,1,10,30,5234,4,2,28,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
